video 1/1 (1/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 43.6ms
video 1/1 (2/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 19.0ms
video 1/1 (3/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.5ms
video 1/1 (4/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.3ms
video 1/1 (5/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.0ms
video 1/1 (6/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.5ms
video 1/1 (7/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.7ms
video 1/1 (8/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.5ms
video 1/1 (9/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.5ms
video 1/1 (10/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (11/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.0ms
video 1/1 (12/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.6ms
video 1/1 (13/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.0ms
video 1/1 (14/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.0ms
video 1/1 (15/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.9ms
video 1/1 (16/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.6ms
video 1/1 (17/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.0ms
video 1/1 (18/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.4ms
video 1/1 (19/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.1ms
video 1/1 (20/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.8ms
video 1/1 (21/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.6ms
video 1/1 (22/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.5ms
video 1/1 (23/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.3ms
video 1/1 (24/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.1ms
video 1/1 (25/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.7ms
video 1/1 (26/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.2ms
video 1/1 (27/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.1ms
video 1/1 (28/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.7ms
video 1/1 (29/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.5ms
video 1/1 (30/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 19.9ms
video 1/1 (31/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.2ms
video 1/1 (32/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.5ms
video 1/1 (33/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.0ms
video 1/1 (34/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.7ms
video 1/1 (35/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.6ms
video 1/1 (36/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.0ms
video 1/1 (37/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.7ms
video 1/1 (38/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.7ms
video 1/1 (39/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 20.3ms
video 1/1 (40/925) /home/ubuntu/OD/LISA/05-06-2023_17h29m08s.mp4: 480x640 (no detections), 21.7ms
